"Lastname","Gender","Sherpa","Nation","Year","Reason"
"Ang Mingma (Mingma)","m","Sherpa","NEP","2008",""
"Ang Namgyal","m","Sherpa","NEP","2008",""
"Ang Pemba Ii","m","Sherpa","NEP","2008",""
"Ang Sonam (Pasang Sona)","m","Sherpa","NEP","2008",""
"Apa (Appa)","m","Sherpa","NEP","2008",""
"Arnot","f","","USA","2008",""
"Audy","m","","CAN","2008",""
"Bishow Raj Tamang","m","","NEP","2008",""
"Bull","m","","AUS","2008",""
"Champa","m","","IND","2008",""
"Chayang Jangbu (Jyabu) Bhote","m","","NEP","2008",""
"Clement","m","","USA","2008",""
"Cook","m","","USA","2008",""
"Corazza","m","","ITA","2008",""
"Damai Chhiri","m","Sherpa","NEP","2008",""
"Dawa Dhendup Bhutia","m","","IND","2008",""
"Dawa Gelji (Dawa Gyalzen)","m","Sherpa","NEP","2008",""
"Dawa Gyalje (Dawa Gyalzen)","m","Sherpa","NEP","2008",""
"Dawa Gyalzen Ii","m","Sherpa","NEP","2008",""
"Dawa Tenzin (Dawa Tenji)","m","Sherpa","NEP","2008",""
"Dendi Iv","m","Sherpa","NEP","2008",""
"Doma Chhiri","m","Sherpa","NEP","2008",""
"Dorje Gyalzen","m","Sherpa","NEP","2008",""
"Dossett","m","","CAN","2008",""
"George","m","","AUS","2008",""
"Gurmey","m","","IND","2008",""
"Gyalze (Gelje)","m","Sherpa","NEP","2008",""
"Holland","m","","AUS","2008",""
"Holland","m","","AUS","2008",""
"Jamling Bhote","m","","NEP","2008",""
"Janikowski","m","","CAN","2008",""
"Jit Bahadur (Thile)","m","Sherpa","NEP","2008",""
"Kalzang Dorje","m","Sherpa","NEP","2008",""
"Kami Chhiri","m","Sherpa","NEP","2008",""
"Kami Rita Ii","m","Sherpa","NEP","2008",""
"Kancha Nuru Ii","m","Sherpa","NEP","2008",""
"Karma Gyalzen Iv","m","Sherpa","NEP","2008",""
"Karma Gyalzen V","m","Sherpa","NEP","2008",""
"Karwal","m","","IND","2008",""
"Kazi Ii (Kaji)","m","Sherpa","NEP","2008",""
"Król","m","","POL","2008",""
"Kunzang Gyatso Bhutia","m","","IND","2008",""
"Lektso","m","","IND","2008",""
"Lhakpa Nuru Ii","m","Sherpa","NEP","2008",""
"Lhamo","f","","IND","2008",""
"Linh","m","","VIE","2008",""
"Lobsang","m","","IND","2008",""
"Maskey","f","","NEP","2008",""
"Maya Gurung","f","","NEP","2008",""
"Mingma Temba","m","Sherpa","NEP","2008",""
"Mingma Tshering Iii (Mingma Chhiring)","m","Sherpa","NEP","2008",""
"Mingma Tshering Iv","m","Sherpa","NEP","2008",""
"Morton","m","","USA","2008",""
"Namgyal","m","","IND","2008",""
"Nang Chombi (Nang Chhemi)","m","Sherpa","NEP","2008",""
"Nawang Phuti (Ngawang Bhutik)","f","","NEP","2008",""
"Ngợi","m","","VIE","2008",""
"Nhiên","m","","VIE","2008",""
"Nima Dorje Iii","m","Sherpa","NEP","2008",""
"Nima Gombu (Gombu)","m","Sherpa","NEP","2008",""
"Nima Grimen","m","Sherpa","NEP","2008",""
"Nima Gyalzen Iv","m","Sherpa","NEP","2008",""
"Nima Wangchu Iii","m","Sherpa","IND","2008",""
"Palden Nima","m","Sherpa","NEP","2008",""
"Pasang Ii","m","Sherpa","NEP","2008",""
"Pasang Dawa I (Pa Dawa, Pando)","m","Sherpa","NEP","2008",""
"Pasang Karma","m","Sherpa","NEP","2008",""
"Pasang Tenzing I","m","Sherpa","NEP","2008",""
"Pema Diki (Pemba Diki)","f","","NEP","2008",""
"Pemba Chhoti Ii","m","Sherpa","NEP","2008",""
"Pemba Chhuti (Pemba Chhoti)","m","Sherpa","NEP","2008",""
"Pemba Dorje I","m","Sherpa","NEP","2008",""
"Pemba Dorje Ii","m","Sherpa","NEP","2008",""
"Pemba Dorje V","m","Sherpa","NEP","2008",""
"Pemba Nuru Iii","m","Sherpa","NEP","2008",""
"Perlino","m","","ITA","2008",""
"Phul Maya Tamang","f","","IND","2008",""
"Phuntsok","m","","IND","2008",""
"Phura Kancha (Fur Kancha)","m","Sherpa","NEP","2008",""
"Phurba Chhoter","m","Sherpa","NEP","2008",""
"Phurba Tenzing I","m","Sherpa","NEP","2008",""
"Popoviciu","m","","ROM","2008",""
"Rigden","m","","IND","2008",""
"Rojanapanich","m","","THA","2008",""
"Sala","m","","ITA","2008",""
"Serap (Sherap)","m","Sherpa","NEP","2008",""
"Sharma","m","","IND","2008",""
"Short","m","","UK","2008",""
"Singh","m","","IND","2008",""
"Singh","m","","IND","2008",""
"Singh","m","","IND","2008",""
"Son","m","","SK","2008",""
"Sottsass","m","","ITA","2008",""
"Tashi Ii","m","Sherpa","NEP","2008",""
"Tenpa","m","","IND","2008",""
"Thivierge","m","","CAN","2008",""
"Tshering Dorje I","m","Sherpa","NEP","2008",""
"Tul Singh Gurung","m","","NEP","2008",""
"Waters","m","","USA","2008",""
"Wedberg","m","","USA","2008",""
"Yangdi","f","","IND","2008",""
"Yannuzzi","m","","USA","2008",""
"Zlattinger","m","","UK","2008",""
"Balfour","m","","UK","2008",""
"Brash","m","","CAN","2008",""
"Brittleton","m","","UK","2008",""
"Chewang Lendu","m","Sherpa","NEP","2008",""
"Chhumbi","m","Sherpa","NEP","2008",""
"Chung","m","","SK","2008",""
"Dawa Dorje","m","Sherpa","NEP","2008",""
"Dawa Wangchuk (Dawa Ongchu)","m","Sherpa","NEP","2008",""
"Hamilton","m","","UK","2008",""
"Hawrylewicz","m","","POL","2008",""
"Kami I (Kame)","m","Sherpa","NEP","2008",""
"Kiela-Pałys","f","","POL","2008",""
"Kim","m","","SK","2008",""
"Kim","m","","SK","2008",""
"Kim","f","","SK","2008",""
"Lee","m","","SK","2008",""
"Lhakpa Nuru Xi","m","Sherpa","NEP","2008",""
"Lila Bahadur Basnet","m","","NEP","2008",""
"Merle","m","","USA","2008",""
"Mingma Dorje Iv (Mingmar Dorje)","m","Sherpa","NEP","2008",""
"Mingma Ngima","m","Sherpa","NEP","2008",""
"Mingma Tenzing Ii","m","Sherpa","NEP","2008",""
"Mingma Thinduk Ii","m","Sherpa","NEP","2008",""
"Mingma Tshering I (Mingma Tsiri)","m","Sherpa","NEP","2008",""
"Morse","m","","USA","2008",""
"Nima Iii (Ngima)","m","Sherpa","NEP","2008",""
"Nima Gyalzen I","m","Sherpa","NEP","2008",""
"Nuru Wangchu","m","Sherpa","NEP","2008",""
"Otto","m","","CAN","2008",""
"Otto","m","","CAN","2008",""
"Pasang Namgyal","m","Sherpa","NEP","2008",""
"Pasang Nuru V","m","Sherpa","NEP","2008",""
"Pasang Tenzing Ii","m","Sherpa","NEP","2008",""
"Pema Chhiring (Pema Chhiri)","m","Sherpa","NEP","2008",""
"Pemba Ii","m","Sherpa","NEP","2008",""
"Pennington","f","","UK","2008",""
"Phurba Wangchu","m","Sherpa","NEP","2008",""
"Pickett","f","","UK","2008",""
"Procter","m","","UK","2008",""
"Smith","m","","CAN","2008",""
"Taylor","m","","IRE","2008",""
"Tshering Dorje Ii (Chhiring Dorje)","m","Sherpa","NEP","2008",""
"Wangchu Iii","m","Sherpa","NEP","2008",""
"Williams","m","","UK","2008",""
"Ang Dorje Ii (Chuldim Dorje)","m","Sherpa","NEP","2008",""
"Ang Pasang Iii","m","Sherpa","NEP","2008",""
"Bart","f","","AUS","2008",""
"Bart","f","","AUS","2008",""
"Bista","f","","NEP","2008",""
"Bixler","m","","USA","2008",""
"Bradey","f","","NZ","2008",""
"Casserley","m","","UK","2008",""
"Chaulagain","m","","NEP","2008",""
"Chuwang Nima (Chhewang Nima)","m","Sherpa","NEP","2008",""
"Cool","m","","UK","2008",""
"Curtin","m","","USA","2008",""
"Dakipa","m","Sherpa","NEP","2008",""
"Dawa Jangbu I (Da Jangbu I)","m","Sherpa","NEP","2008",""
"Dawa Jangbu Ii (Da Jangbu Ii)","m","Sherpa","NEP","2008",""
"Dawa Nuru Iv (Da Nuru)","m","Sherpa","NEP","2008",""
"Dawa Sona (Da Sonam)","m","Sherpa","NEP","2008",""
"Drowley","m","","UK","2008",""
"Faike","f","","USA","2008",""
"Farmer","m","","UK","2008",""
"Fujimori","m","","JAP","2008",""
"Hamill","m","","USA","2008",""
"Hovland","f","","USA","2008",""
"Hyde","m","","USA","2008",""
"Kadoya","m","","JAP","2008",""
"Kami Rita I (Topke)","m","Sherpa","NEP","2008",""
"Kato","m","","JAP","2008",""
"Konrath","m","","USA","2008",""
"Laserer","m","","A","2008",""
"Lhakpa Dorje Iv","m","Sherpa","NEP","2008",""
"Lhakpa Nuru Xii","m","Sherpa","NEP","2008",""
"Lhakpa Rita I","m","Sherpa","NEP","2008",""
"Lhakpa Wangchu","m","Sherpa","NEP","2008",""
"Luscher","m","","USA","2008",""
"Masheter","f","","USA","2008",""
"Masuda","m","","JAP","2008",""
"Mingma Chhiri I (Mingma Chhiring)","m","Sherpa","NEP","2008",""
"Mingma Dorje V","m","Sherpa","NEP","2008",""
"Musey","m","","USA","2008",""
"Namgyal Iii","m","Sherpa","NEP","2008",""
"Nima Doma","f","","NEP","2008",""
"Nima Kancha Iv","m","Sherpa","NEP","2008",""
"Nima Tenzing I","m","Sherpa","NEP","2008",""
"Novick","m","","USA","2008",""
"Nurbu Bhote Lama","m","","NEP","2008",""
"Ogwyn","m","","USA","2008",""
"Pasang Vi","m","Sherpa","NEP","2008",""
"Pasang Bhote I (Pasang Lama Bhote)","m","","NEP","2008",""
"Pasang Bhote Ii","m","","NEP","2008",""
"Pasang Dawa Iii","m","Sherpa","NEP","2008",""
"Pasang Rita Ii (Pa Rita)","m","Sherpa","NEP","2008",""
"Pasang Tsheri","m","Sherpa","NEP","2008",""
"Pemba Chhoti I","m","Sherpa","NEP","2008",""
"Peralvo","m","","ECU","2008",""
"Phinzo Ii (Phinjo)","m","Sherpa","NEP","2008",""
"Phu Nuru (Phunuru)","m","Sherpa","NEP","2008",""
"Phu Tashi I","m","Sherpa","NEP","2008",""
"Phurba Chhiri (Phurba Tshering)","m","Sherpa","NEP","2008",""
"Rita Dorje (Ang Rita Dorje)","m","Sherpa","NEP","2008",""
"Roberts","m","","NZ","2008",""
"Sange Dorje","m","Sherpa","NEP","2008",""
"Saunders","m","","UK","2008",""
"Scull","m","","USA","2008",""
"Shaile Basnet","f","","NEP","2008",""
"Singh","f","","NEP","2008",""
"Soebbing","m","","USA","2008",""
"Sonam Tshering Ii (Ang Sona)","m","Sherpa","NEP","2008",""
"Tejas","m","","USA","2008",""
"Temba Ii","m","Sherpa","NEP","2008",""
"Tendi Ii","m","Sherpa","NEP","2008",""
"Trümpelmann","m","","SA","2008",""
"Tshering Namgyal (Ang Namgyal)","m","Sherpa","NEP","2008",""
"Warren","m","","USA","2008",""
"Wells","f","","USA","2008",""
"Williams","m","","CAN","2008",""
"Bir Bahadur Gurung","m","","NEP","2008",""
"Brennan","m","","UK","2008",""
"Changba Nurbu (Chongba Nuru)","m","Sherpa","NEP","2008",""
"Chheten Dorje","m","Sherpa","NEP","2008",""
"Da Gombu","m","Sherpa","NEP","2008",""
"Dendoune","m","","ALG","2008",""
"Dharma Bahadur Rai","m","","NEP","2008",""
"Furneaux","m","","CAN","2008",""
"Jones","m","","CAN","2008",""
"Kristiansen","m","","DK","2008",""
"Lhakpa Nuru Viii","m","Sherpa","NEP","2008",""
"Lhakpa Nuru Xiii","m","Sherpa","NEP","2008",""
"Lhakpa Tshering Vii","m","Sherpa","NEP","2008",""
"Linzbichler","m","","A","2008",""
"Manni","m","","ITA","2008",""
"Min Bahadur Sherchan","m","","NEP","2008",""
"Mingma Dukpa","m","Sherpa","NEP","2008",""
"Nima Ii (Ngima)","m","Sherpa","NEP","2008",""
"Pasang Iii","m","Sherpa","NEP","2008",""
"Pasang Wangchu I","m","Sherpa","NEP","2008",""
"Pasang Yila","m","Sherpa","NEP","2008",""
"Pemba Tenjin","m","Sherpa","NEP","2008",""
"Salameh","m","","JOR","2008",""
"Sange Ii","m","Sherpa","NEP","2008",""
"Sasseville","m","","CAN","2008",""
"Sherap Jangbu (Serap Jangbu)","m","Sherpa","NEP","2008",""
"Shreshta","f","","NEP","2008",""
"Smidt","m","","DK","2008",""
"Temba Iii","m","Sherpa","NEP","2008",""
"Thendorje (Thendu Dorje)","m","Sherpa","NEP","2008",""
"Dawa Steven","m","Sherpa","NEP","2008",""
"Igarashi","m","","JAP","2008",""
"Jangbu Viii","m","Sherpa","NEP","2008",""
"Liaño","m","","MEX","2008",""
"Mallory","m","","CAN","2008",""
"Mallory","m","","CAN","2008",""
"Mallory","m","","CAN","2008",""
"Mingma Dorje Ii","m","Sherpa","NEP","2008",""
"Miura","m","","JAP","2008",""
"Muraguchi","m","","JAP","2008",""
"Nga Temba I (Ngatemba)","m","Sherpa","NEP","2008",""
"Nima Kancha V","m","Sherpa","NEP","2008",""
"Nima Nurbu","m","Sherpa","NEP","2008",""
"Ongje (Wangche)","m","Sherpa","NEP","2008",""
"Pemba Gyalzen Iii (Pemba Geljen)","m","Sherpa","NEP","2008",""
"Phur Gyalzen I (Fur Geljen)","m","Sherpa","NEP","2008",""
"Sange I","m","Sherpa","NEP","2008",""
"Tamtin (Thomting, Tamding)","m","Sherpa","NEP","2008",""
"Thundu","m","Sherpa","NEP","2008",""
"Ang Dawa Ii","m","Sherpa","NEP","2008",""
"Ang Kami Vi","m","Sherpa","NEP","2008",""
"Finjo Dorje (Phinjo Dorje)","m","Sherpa","NEP","2008",""
"Hahn","m","","USA","2008",""
"Keppke","m","","BRA","2008",""
"Kovalev","m","","UKR","2008",""
"Lykov","m","","UKR","2008",""
"Mallory","f","","CAN","2008",""
"Messner","f","","USA","2008",""
"Nga Tenji","m","Sherpa","NEP","2008",""
"Paliy","m","","UKR","2008",""
"Pasang Norbu Ii","m","Sherpa","NEP","2008",""
"Raineri","m","","BRA","2008",""
"Samduk (Sanduk) Dorje Tamang","m","","NEP","2008",""
"Storozhenko","m","","UKR","2008",""
"Browder","m","","USA","2008",""
"Lhakpa Gelu Ii (Lhakpa Gelbu)","m","Sherpa","NEP","2008",""
"Pasang Gelu I","m","Sherpa","NEP","2008",""
"Goltz","m","","CH","2008","Exhaustion"
"Dorje Sonam Gyalzen","m","Sherpa","NEP","2009",""
"Kami Rita I (Topke)","m","Sherpa","NEP","2009",""
"Mingma Tenzing Ii","m","Sherpa","NEP","2009",""
"Nima Tshering I (Ngima Chhiri)","m","Sherpa","NEP","2009",""
"Panuru (Pasang Nuru, Pa Nuru)","m","Sherpa","NEP","2009",""
"Phurba Tashi","m","Sherpa","NEP","2009",""
"Tait","m","","UK","2009",""
"Chimi Tashi (Qimi Tashi)","m","","CHN","2009",""
"Dorje Tsering","m","","CHN","2009",""
"Ngawang Dorje","m","","CHN","2009",""
"Pemba Tashi (Bianba Zaxi) Ii","m","","CHN","2009",""
"Tenzing ??","m","","CHN","2009",""
"Tenzing Gyurme","m","","CHN","2009",""
"Chen","m","","CHN","2009",""
"Lin","m","","CHN","2009",""
"Liu","m","","CHN","2009",""
"Ngodup (Ou Chu)","m","","CHN","2009",""
"Pu","m","","CHN","2009",""
"Sonam Tashi (Soinam Zaxi)","m","","CHN","2009",""
"Sun","f","","CHN","2009",""
"Tsipe (Cipei)","m","","CHN","2009",""
"Xiao","m","","CHN","2009",""
"Zhang","m","","CHN","2009",""
"Zhao","f","","CHN","2009",""
"?","m","","CHN","2009",""
"?","m","","CHN","2009",""
"?","m","","CHN","2009",""
"Izquierdo","m","","E","2009",""
"Lang","m","","CHN","2009",""
"Lhakpa Nuru Xiv","m","Sherpa","NEP","2009",""
"Li","m","","CHN","2009",""
"Lobchong (Lobsang) I","m","","CHN","2009",""
"Luo","m","","CHN","2009",""
"Luo","f","","CHN","2009",""
"Miyamori","m","","JAP","2009",""
"Muktu Lhakpa","m","Sherpa","NEP","2009",""
"Ngawang Dhondup","m","","CHN","2009",""
"Pasang Tarke (Pasang Tagqu)","m","","CHN","2009",""
"Pazzaglia","m","","SM","2009",""
"Pemba Dhondup (Bianba Dunzhu)","m","","CHN","2009",""
"Phur Gyalzen I (Fur Geljen)","m","Sherpa","NEP","2009",""
"Phurtse (Phurbu Tsering)","m","","CHN","2009",""
"Qu","m","","CHN","2009",""
"Su","m","","CHN","2009",""
"Tanaka","m","","JAP","2009",""
"Tashi Phinzo 1","m","","CHN","2009",""
"Tashi Tshering (Zhaxi Ciren) 3","m","","CHN","2009",""
"Tsering Dorje Ii (Cering Doje)","m","","CHN","2009",""
"Tsering Samdrup","m","","CHN","2009",""
"Wangchu Iii","m","Sherpa","NEP","2009",""
"Wangdu Iii (Small)","m","","CHN","2009",""
"Wangdu Iv","m","","CHN","2009",""
"Wu","m","","CHN","2009",""
"Xing","m","","CHN","2009",""
"Xu","m","","CHN","2009",""
"Yang","m","","CHN","2009",""
"Yang","m","","CHN","2009",""
"Zhang","m","","CHN","2009",""
"Ang Dorje Ii (Chuldim Dorje)","m","Sherpa","NEP","2009",""
"Benegas","m","","USA","2009",""
"Benegas","m","","USA","2009",""
"Bennike","m","","DK","2009",""
"Bostjančić","f","","CRO","2009",""
"Bostjančić","f","","CRO","2009",""
"Chhiti (Chhiring) Thinduk Bhote","m","","NEP","2009",""
"Chiang","f","","TAI","2009",""
"Collinson","m","","USA","2009",""
"Crampton","m","","UK","2009",""
"Dawa Chhiri Iii","m","Sherpa","NEP","2009",""
"Dawa Gyalzen Ii","m","Sherpa","NEP","2009",""
"Dawa Jangbu I (Da Jangbu I)","m","Sherpa","NEP","2009",""
"Dawa Jongbu (Dawa Jamba)","m","Sherpa","NEP","2009",""
"Elmezov","m","","RUS","2009",""
"Fairweather","m","","UK","2009",""
"Freeman","m","","USA","2009",""
"Fulton","m","","UK","2009",""
"Fura Dorje (Phura Dorje)","m","Sherpa","NEP","2009",""
"Goodland","m","","UK","2009",""
"Griber","m","","USA","2009",""
"Hamilton","m","","UK","2009",""
"Huang","m","","TAI","2009",""
"Johanson","m","","AUS","2009",""
"Jyamchang Bhote","m","","NEP","2009",""
"Kami I (Kame)","m","Sherpa","NEP","2009",""
"Karma Gyalzen V","m","Sherpa","NEP","2009",""
"Kazi Ii (Kaji)","m","Sherpa","NEP","2009",""
"Kedev","m","","MAC","2009",""
"Kim","m","","SK","2009",""
"Kim","m","","SK","2009",""
"Kul Bahadur Magar","m","","NEP","2009",""
"Lee","m","","SK","2009",""
"Lem","m","","USA","2009",""
"Lhakpa Nuru Ii","m","Sherpa","NEP","2009",""
"Mansikka","m","","SF","2009",""
"Mingma Dukpa","m","Sherpa","NEP","2009",""
"Moffatt","m","","UK","2009",""
"Monedero","m","","E","2009",""
"Nawang Chhangba","m","Sherpa","NEP","2009",""
"Nawang Lhakpa (Ngawang Lhakpa)","m","Sherpa","NEP","2009",""
"Nima Chhiri","m","Sherpa","NEP","2009",""
"Nima Gyalzen I","m","Sherpa","NEP","2009",""
"Nima Gyalzen Ii","m","Sherpa","NEP","2009",""
"Nima Gyalzen Iii","m","Sherpa","NEP","2009",""
"Nima Nuru Ii (Ngima Nuru)","m","Sherpa","NEP","2009",""
"Norton","m","","USA","2009",""
"Palden Nima","m","Sherpa","NEP","2009",""
"Park","m","","SK","2009",""
"Pasang Bhote Ii","m","","NEP","2009",""
"Pasang Dawa Iv","m","Sherpa","NEP","2009",""
"Pasang Tendi Ii","m","Sherpa","NEP","2009",""
"Pasang Tenzing I","m","Sherpa","NEP","2009",""
"Pattison","m","","UK","2009",""
"Pema Chhiring (Pema Chhiri)","m","Sherpa","NEP","2009",""
"Pemba Ii","m","Sherpa","NEP","2009",""
"Pemba Chhoti I","m","Sherpa","NEP","2009",""
"Pemba Dorje Ii","m","Sherpa","NEP","2009",""
"Pemba Nuru Iii","m","Sherpa","NEP","2009",""
"Pemba Rinjin","m","Sherpa","NEP","2009",""
"Pemba Rita","m","Sherpa","NEP","2009",""
"Pemba Tenjin","m","Sherpa","NEP","2009",""
"Phu Tshering","m","Sherpa","NEP","2009",""
"Phura Nuru Ii","m","Sherpa","NEP","2009",""
"Phurba Namgyal","m","Sherpa","NEP","2009",""
"Phurba Tenzing I","m","Sherpa","NEP","2009",""
"Rehfeld","m","","USA","2009",""
"Robertson","m","","UK","2009",""
"Sahney","m","","USA","2009",""
"Sahores","f","","ARG","2009",""
"Sambahangphe","f","","NEP","2009",""
"Sange Dorje","m","Sherpa","NEP","2009",""
"Sanu","m","Sherpa","NEP","2009",""
"Scarth","m","","USA","2009",""
"Tashi Ii","m","Sherpa","NEP","2009",""
"Temba Ii","m","Sherpa","NEP","2009",""
"Tenji I (Tenzing)","m","Sherpa","NEP","2009",""
"Thile Nurbu (Thile Nuru)","m","Sherpa","NEP","2009",""
"Thundu","m","Sherpa","NEP","2009",""
"Tika Ram Gurung","m","","NEP","2009",""
"Tshering Thundu","m","Sherpa","NEP","2009",""
"Viesturs","m","","USA","2009",""
"Wagner","m","","USA","2009",""
"Wang","m","","SK","2009",""
"Wangchukal (Onjukal)","m","Sherpa","NEP","2009",""
"Waymark","m","","UK","2009",""
"Whittaker","m","","USA","2009",""
"Wraith","m","","USA","2009",""
"Wu","m","","TAI","2009",""
"Abramov","m","","RUS","2009",""
"Ang Dawa Ii","m","Sherpa","NEP","2009",""
"Ang Namgyal","m","Sherpa","NEP","2009",""
"Bobok","m","","RUS","2009",""
"Bogenschütz","m","","GER","2009",""
"Challéat","m","","F","2009",""
"Chen","m","","USA","2009",""
"Coron","m","","F","2009",""
"Da Dendi","m","Sherpa","NEP","2009",""
"Da Ongchhu","m","Sherpa","NEP","2009",""
"Dawa Nuru Iii (Danuru)","m","Sherpa","NEP","2009",""
"Dendi V","m","Sherpa","NEP","2009",""
"Díez","m","","E","2009",""
"Diz","m","","E","2009",""
"Eddy","m","","USA","2009",""
"Geranmayeh","m","","IRN","2009",""
"Grubb","m","","USA","2009",""
"Hamill","m","","USA","2009",""
"Inkinen","m","","SF","2009",""
"Jakofčič","m","","SLO","2009",""
"Jamling Bhote","m","","NEP","2009",""
"Jangbu V","m","Sherpa","NEP","2009",""
"Jangbu Vii","m","Sherpa","NEP","2009",""
"Jangbu Viii","m","Sherpa","NEP","2009",""
"Jangbu Ix","m","Sherpa","NEP","2009",""
"Jin","m","","SK","2009",""
"Kami Tshering (Ang Chhiring)","m","Sherpa","NEP","2009",""
"Kancha Nuru Ii","m","Sherpa","NEP","2009",""
"Kancha Nuru Iii","m","Sherpa","NEP","2009",""
"Kang","m","","SK","2009",""
"Karma Ii","m","Sherpa","NEP","2009",""
"Karna Bahadur Tamang","m","","NEP","2009",""
"Karpenko","m","","MOL","2009",""
"Karsang (Gesang) 2","m","","CHN","2009",""
"Keren","m","","ISR","2009",""
"Khutorovski","m","","RUS","2009",""
"Klepeisz","m","","A","2009",""
"Kobler","m","","CH","2009",""
"Kusang Tenzing","m","Sherpa","NEP","2009",""
"Lavigne","m","","CAN","2009",""
"Lee","f","","SIN","2009",""
"Lee","f","","SIN","2009",""
"Leino","m","","SF","2009",""
"Lhakpa Vii","m","Sherpa","NEP","2009",""
"Lhakpa Bhote I","m","","NEP","2009",""
"Lhakpa Gelu Ii (Lhakpa Gelbu)","m","Sherpa","NEP","2009",""
"Lhakpa Rangdu","m","Sherpa","NEP","2009",""
"Lila Bahadur Basnet","m","","NEP","2009",""
"Lobchong (Lobsang) Ii","m","","CHN","2009",""
"López","m","","MEX","2009",""
"Marin","m","","USA","2009",""
"Maurel","m","","F","2009",""
"Mingma Gelu","m","Sherpa","NEP","2009",""
"Mingma Tshering I (Mingma Tsiri)","m","Sherpa","NEP","2009",""
"Mingma Tshering Iii (Mingma Chhiring)","m","Sherpa","NEP","2009",""
"Mingmar","m","Sherpa","NEP","2009",""
"Mitenjen (Mingma)","m","Sherpa","NEP","2009",""
"Moses","m","","USA","2009",""
"Myllys","m","","SF","2009",""
"Namgyal I (Namgya)","m","Sherpa","NEP","2009",""
"Namgyal Ii","m","Sherpa","NEP","2009",""
"Ngima Ii","m","Sherpa","NEP","2009",""
"Nikitin","m","","RUS","2009",""
"Nima Gombu (Gombu)","m","Sherpa","NEP","2009",""
"Palden Namgye (Palden Namgyal)","m","Sherpa","NEP","2009",""
"Panuru (Pasang Nuru, Pa Nuru)","m","Sherpa","NEP","2009",""
"Parazynski","m","","USA","2009",""
"Park","m","","SK","2009",""
"Pasang Vii","m","Sherpa","NEP","2009",""
"Pasang Nuru Iii","m","Sherpa","NEP","2009",""
"Pechhumbe","m","Sherpa","NEP","2009",""
"Pema Tshering Ii (Pem Chhiri)","m","Sherpa","NEP","2009",""
"Pemba I","m","Sherpa","NEP","2009",""
"Pemba Chhoti Ii","m","Sherpa","NEP","2009",""
"Pemba Norbu Iv (Pemba Nurbu)","m","Sherpa","NEP","2009",""
"Peme","m","Sherpa","NEP","2009",""
"Pennington","f","","UK","2009",""
"Pflugradt","m","","GER","2009",""
"Rahomäki","m","","SF","2009",""
"Ravenstijn","m","","NL","2009",""
"Redar Lama Bhote","m","","NEP","2009",""
"Reuss","m","","GER","2009",""
"Richmond","f","","UK","2009",""
"Rudolph","m","","GER","2009",""
"Samduk (Sanduk) Dorje Tamang","m","","NEP","2009",""
"Sharma","m","","IND","2009",""
"Shin","m","","SK","2009",""
"Sonam Finjo (Ang Pinjo)","m","Sherpa","NEP","2009",""
"Springer","m","","USA","2009",""
"Strange","m","","USA","2009",""
"Strange","m","","USA","2009",""
"Tan","f","","SIN","2009",""
"Tashi I","m","Sherpa","NEP","2009",""
"Tashi Thundup (Tashi Thundu)","m","Sherpa","NEP","2009",""
"Temba Iii","m","Sherpa","NEP","2009",""
"Thapa Magar","m","","NEP","2009",""
"Tshering Pemba","m","Sherpa","NEP","2009",""
"Wangchu Ii","m","Sherpa","NEP","2009",""
"Wardle","m","","UK","2009",""
"Wehrli","m","","CH","2009",""
"Woolums","m","","USA","2009",""
"Yazdipour","m","","IRN","2009",""
"Yonten (Yundan)","m","","CHN","2009",""
"Apa (Appa)","m","Sherpa","NEP","2009",""
"Arai","m","","JAP","2009",""
"Ballinger","m","","UK","2009",""
"Barańska","f","","POL","2009",""
"Bierling","f","","GER","2009",""
"Bisht","m","","IND","2009",""
"Black","m","","UK","2009",""
"Bodh","m","","IND","2009",""
"Bogatyrev","m","","RUS","2009",""
"Burathoki","f","","IND","2009",""
"Cheppa","m","Sherpa","NEP","2009",""
"Cherny","m","","RUS","2009",""
"Chewang Dorje Ii","m","Sherpa","NEP","2009",""
"Chewang Palden","m","Sherpa","NEP","2009",""
"Chhyang Jyalbu Bhote","m","","NEP","2009",""
"Colletta","m","","F","2009",""
"Contreras","m","","MEX","2009",""
"Cool","m","","UK","2009",""
"Cunningham","m","","USA","2009",""
"Da Tendi (Da Dendi)","m","Sherpa","NEP","2009",""
"Dharmshaktu","m","","IND","2009",""
"Dorje Gyalzen","m","Sherpa","NEP","2009",""
"Dovell","m","","UK","2009",""
"Fiennes","m","","UK","2009",""
"Fox","m","","USA","2009",""
"González","m","","ECU","2009",""
"González Del Castillo","f","","MEX","2009",""
"Green","m","","USA","2009",""
"Gusain","m","","IND","2009",""
"Gyaluk (Gyalu Lama)","m","Sherpa","NEP","2009",""
"Hanna","f","","UK","2009",""
"Hanna","m","","UK","2009",""
"Honda","m","","JAP","2009",""
"Hutson","m","","UK","2009",""
"Jones","m","","IRE","2009",""
"Kami Chhiri","m","Sherpa","NEP","2009",""
"Karma I","m","Sherpa","NEP","2009",""
"Karma Gyalzen Iv","m","Sherpa","NEP","2009",""
"Karsang Namgyal/Namgel","m","Sherpa","NEP","2009",""
"Kobold","m","","GER","2009",""
"Kondo","m","","JAP","2009",""
"Lama Babu Ii","m","Sherpa","NEP","2009",""
"Lhakpa Thundu I","m","Sherpa","NEP","2009",""
