"Lastname","Nation","Sherpa","Gender","Y"
"Hall","NZ","","m","1992"
"Mantle","USA","","m","1992"
"Sonam Tshering I","NEP","Sherpa","m","1992"
"Tashi Tshering I","NEP","Sherpa","m","1992"
"Dawa Tashi I","NEP","Sherpa","m","1992"
"Naar","NL","","m","1992"
"Nima Temba I","NEP","Sherpa","m","1992"
"Öfner","NL","","m","1992"
"Ang Gyalzen I (Gyalzen)","NEP","Sherpa","m","1992"
"Bowen","USA","","m","1992"
"Dawa Temba I","NEP","Sherpa","m","1992"
"Horner","USA","","m","1992"
"Tejas","USA","","m","1992"
"Dusharin","RUS","","m","1992"
"Gerasimov","RUS","","m","1992"
"Sabelnikov","RUS","","m","1992"
"Volkov","RUS","","m","1992"
"Konyukhov","RUS","","m","1992"
"Penzov","RUS","","m","1992"
"Vinogradski","RUS","","m","1992"
"Zakharov","RUS","","m","1992"
"García-Huidobro","CHL","","m","1992"
"Jordan","CHL","","m","1992"
"Montes","CHL","","m","1992"
"Ang Phuri I","NEP","Sherpa","m","1992"
"Ang Rita","NEP","Sherpa","m","1992"
"Purto","CHL","","m","1992"
"Pratt","UK","","m","1992"
"Athans","USA","","m","1992"
"Burleson","USA","","m","1992"
"Dorje I","NEP","Sherpa","m","1992"
"Kerr","UK","","m","1992"
"Lhakpa Rita I","NEP","Sherpa","m","1992"
"Man Bahadur Tamang (Gopal)","NEP","","m","1992"
"Morton","USA","","m","1992"
"Gan","E","","m","1992"
"Juez","E","","m","1992"
"Lhakpa Nuru I","NEP","Sherpa","m","1992"
"Pemba Norbu (Pemba Nuru) Ii","NEP","Sherpa","m","1992"
"Portilla","E","","m","1992"
"Egillor","E","","m","1992"
"Fernández","E","","m","1992"
"Iñurrategi","E","","m","1992"
"Iñurrategi","E","","m","1992"
"Lhakpa Nuru I","NEP","Sherpa","m","1992"
"Mazzoleni","ITA","","m","1992"
"Panzeri","ITA","","m","1992"
"Petigaz","ITA","","m","1992"
"Royer","F","","m","1992"
"Chamoux","F","","m","1992"
"Santin","ITA","","m","1992"
"Blanc","ITA","","m","1992"
"Verza","ITA","","m","1992"
"Bereziartua","E","","m","1992"
"Berger","LUX","","m","1992"
"Reparaz","E","","m","1992"
"Tomás","E","","m","1992"
"Tous","E","","m","1992"
"Dujmovits","GER","","m","1992"
"Sonam Tshering I","NEP","Sherpa","m","1992"
"Vincent","F","","m","1992"
"Aubertin","F","","m","1992"
"Darsney","USA","","m","1992"
"Defrance","F","","m","1992"
"Grenier","F","","m","1992"
"Pelle","F","","m","1992"
"Roussey","F","","m","1992"
"Apa (Appa)","NEP","Sherpa","m","1992"
"Berg","USA","","m","1992"
"De La Parra","MEX","","m","1992"
"Kaji (Pasang Kami)","NEP","Sherpa","m","1992"
"Ortega","PER","","m","1992"
"Heo","SK","","m","1993"
"Ngati","NEP","Sherpa","m","1993"
"Dawa Tashi I","NEP","Sherpa","m","1993"
"Lhakpa Nuru I","NEP","Sherpa","m","1993"
"Nawang Thile (Pemba Dorje)","NEP","Sherpa","m","1993"
"Pasang Lhamu I","NEP","","f","1993"
"Pemba Norbu (Pemba Nuru) Ii","NEP","Sherpa","m","1993"
"Sonam Tshering I","NEP","Sherpa","m","1993"
"Chimi (Xiao Qimi)","CHN","","m","1993"
"Kai Zhong (Gyatso)","CHN","","m","1993"
"Kai Zhong (Khetsun)","CHN","","m","1993"
"Pubu (Phurbu)","CHN","","m","1993"
"Wang","CHN","","m","1993"
"Wu","TAI","","m","1993"
"Mouralev","RUS","","m","1993"
"Dolma","IND","","f","1993"
"Dorje I","NEP","Sherpa","m","1993"
"Kunga Bhutia","IND","","f","1993"
"Kunwar","IND","","m","1993"
"Kusang Dorjee","IND","Sherpa","m","1993"
"Nga Temba I (Ngatemba)","NEP","Sherpa","m","1993"
"Ongda Chhiring (Ongda Tshering)","NEP","Sherpa","m","1993"
"Yadav","IND","","f","1993"
"Ang Dawa I","NEP","Sherpa","m","1993"
"Ang Tshering Ii","NEP","Sherpa","m","1993"
"Choi","SK","","f","1993"
"Ji","SK","","f","1993"
"Kim","SK","","f","1993"
"Rinzing (Ang Rinzing)","NEP","Sherpa","m","1993"
"Sonam Dendu (Sona Dendu)","NEP","Sherpa","m","1993"
"Taylor","UK","","m","1993"
"Armatys","USA","","m","1993"
"Lefever","USA","","f","1993"
